"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 23 14:41:21 GMT 2024","Thu May 23 14:41:22 GMT 2024","867","chromiumheadless","","Parameterising tests","","","Invalid Login - Running same test with different invalid data 1234",""
"passed","Thu May 23 14:41:19 GMT 2024","Thu May 23 14:41:20 GMT 2024","927","chromiumheadless","","Saucedemo tests for successful, unsuccessful logins and add products to cart @smoke","","","Saucedemo test - Products page is not displayed on failed login",""
"passed","Thu May 23 14:41:20 GMT 2024","Thu May 23 14:41:21 GMT 2024","1084","chromiumheadless","","Saucedemo tests for successful, unsuccessful logins and add products to cart @smoke","","","Saucedemo test - Add product to cart",""
"passed","Thu May 23 14:41:16 GMT 2024","Thu May 23 14:41:17 GMT 2024","748","chromium","","Parameterising tests","","","Invalid Login - Running same test with different invalid data 1234",""
"failed","Thu May 23 14:41:23 GMT 2024","Thu May 23 14:41:23 GMT 2024","277","chromiumheadless","","API tests","","","Inavlid GET request","Verify invalid GET API response"
"passed","Thu May 23 14:41:15 GMT 2024","Thu May 23 14:41:16 GMT 2024","1056","chromium","","Saucedemo tests for successful, unsuccessful logins and add products to cart @smoke","","","Saucedemo tests - Successful login will display Products Page",""
"passed","Thu May 23 14:41:13 GMT 2024","Thu May 23 14:41:15 GMT 2024","2370","chromium","","Saucedemo tests for successful, unsuccessful logins and add products to cart @smoke","","","Saucedemo tests - Successful login will display Products Page",""
"passed","Thu May 23 14:41:22 GMT 2024","Thu May 23 14:41:23 GMT 2024","300","chromiumheadless","","","","","API shema validation - ZOD",""
"passed","Thu May 23 14:41:13 GMT 2024","Thu May 23 14:41:15 GMT 2024","2228","chromium","","Saucedemo tests for successful, unsuccessful logins and add products to cart @smoke","","","Saucedemo test - Products page is not displayed on failed login",""
"passed","Thu May 23 14:41:15 GMT 2024","Thu May 23 14:41:16 GMT 2024","1057","chromium","","Saucedemo tests for successful, unsuccessful logins and add products to cart @smoke","","","Saucedemo test - Add product to cart",""
"passed","Thu May 23 14:41:16 GMT 2024","Thu May 23 14:41:17 GMT 2024","794","chromium","","Parameterising tests","","","Invalid Login - Running same test with different invalid data abc",""
"skipped","Thu May 23 14:41:22 GMT 2024","Thu May 23 14:41:22 GMT 2024","1","chromiumheadless","","","","","warranty page visibility checks",""
"passed","Thu May 23 14:41:15 GMT 2024","Thu May 23 14:41:16 GMT 2024","994","chromium","","Saucedemo tests for successful, unsuccessful logins and add products to cart @smoke","","","Saucedemo test - Products page is not displayed on failed login",""
"passed","Thu May 23 14:41:21 GMT 2024","Thu May 23 14:41:22 GMT 2024","1022","chromiumheadless","","Parameterising tests","","","Invalid Login - Running same test with different invalid data abc",""
"passed","Thu May 23 14:41:21 GMT 2024","Thu May 23 14:41:22 GMT 2024","409","chromiumheadless","","API tests","","","Get request","Verify GET API response"
"passed","Thu May 23 14:41:17 GMT 2024","Thu May 23 14:41:17 GMT 2024","338","chromium","","API tests","","","Get request Schema validation",""
"passed","Thu May 23 14:41:16 GMT 2024","Thu May 23 14:41:17 GMT 2024","483","chromium","","API tests","","","Post request","Verify POST API response"
"skipped","Thu May 23 14:41:17 GMT 2024","Thu May 23 14:41:17 GMT 2024","0","chromium","","","","","warranty page visibility checks",""
"failed","Thu May 23 14:41:20 GMT 2024","Thu May 23 14:41:20 GMT 2024","713","chromium","","API tests","","","Inavlid GET request","Verify invalid GET API response"
"passed","Thu May 23 14:41:19 GMT 2024","Thu May 23 14:41:20 GMT 2024","1160","chromiumheadless","","Saucedemo tests for successful, unsuccessful logins and add products to cart @smoke","","","Saucedemo tests - Successful login will display Products Page",""
"passed","Thu May 23 14:41:22 GMT 2024","Thu May 23 14:41:22 GMT 2024","548","chromiumheadless","","API tests","","","Get request Schema validation",""
"passed","Thu May 23 14:41:10 GMT 2024","Thu May 23 14:41:12 GMT 2024","2161","setup","","","","","Save Login Storage for visual_user",""
"passed","Thu May 23 14:41:17 GMT 2024","Thu May 23 14:41:17 GMT 2024","271","chromium","","","","","API shema validation - ZOD",""
"passed","Thu May 23 14:41:13 GMT 2024","Thu May 23 14:41:15 GMT 2024","2374","chromium","","Saucedemo tests for successful, unsuccessful logins and add products to cart @smoke","","","Saucedemo test - Add product to cart",""
"passed","Thu May 23 14:41:18 GMT 2024","Thu May 23 14:41:19 GMT 2024","1202","chromiumheadless","","Saucedemo tests for successful, unsuccessful logins and add products to cart @smoke","","","Saucedemo tests - Successful login will display Products Page",""
"passed","Thu May 23 14:41:20 GMT 2024","Thu May 23 14:41:21 GMT 2024","840","chromiumheadless","","Saucedemo tests for successful, unsuccessful logins and add products to cart @smoke","","","Saucedemo test - Products page is not displayed on failed login",""
"passed","Thu May 23 14:41:18 GMT 2024","Thu May 23 14:41:19 GMT 2024","1405","chromiumheadless","","Saucedemo tests for successful, unsuccessful logins and add products to cart @smoke","","","Saucedemo test - Add product to cart",""
"passed","Thu May 23 14:41:22 GMT 2024","Thu May 23 14:41:22 GMT 2024","512","chromiumheadless","","API tests","","","Post request","Verify POST API response"
"passed","Thu May 23 14:41:16 GMT 2024","Thu May 23 14:41:16 GMT 2024","418","chromium","","API tests","","","Get request","Verify GET API response"
"passed","Thu May 23 14:41:10 GMT 2024","Thu May 23 14:41:12 GMT 2024","2158","setup","","","","","Save Login Storage for standard_user",""
